Species,Genus,Family,y,n,mass,height,lifeform,longevity,light,temperature,continentality,humidity,reaction,nitrogen,salt,habitat
Iris_variegata,Iris,Iridaceae,10,50,35.7,40,4,3,6,7,6,2,6,3,0,0
Iris_spuria,Iris,Iridaceae,24,50,24.99,90,4,3,9,8,5,7,8,3,1,4
Iris_pseudacorus,Iris,Iridaceae,7,50,49,150,4,3,7,6,3,10,5,7,0,1
Iris_sibirica,Iris,Iridaceae,49,50,15.8,120,4,3,8,6,5,8,6,2,0,4
Gladiolus_palustris,Gladiolus,Iridaceae,46,50,1.66,50,4,3,8,6,4,6,8,2,0,4
Allium_paradoxum,Allium,Amaryllidaceae,19,50,14.88,30,4,3,6,6,3,5,7,7,0,3
Allium_ursinum,Allium,Amaryllidaceae,46,50,5.6,40,4,3,2,5,2,6,7,8,0,7
Allium_victorialis,Allium,Amaryllidaceae,17,50,3.56,60,4,3,7,3,5,5,7,4,0,4
Allium_angulosum,Allium,Amaryllidaceae,8,50,2.3,45,4,3,8,7,7,8,8,2,0,4
Allium_suaveolens,Allium,Amaryllidaceae,41,50,1.7,50,4,3,7,6,5,8,9,2,0,4
Allium_schoenoprasum,Allium,Amaryllidaceae,47,50,0.9,30,4,3,7,5,7,5,7,2,0,4
Allium_scorodoprasum,Allium,Amaryllidaceae,41,50,1.38,90,4,3,6,6,5,7,7,7,0,7
Allium_sphaerocephalon,Allium,Amaryllidaceae,6,50,1.36,80,4,3,9,8,5,3,8,2,0,4
Allium_vineale,Allium,Amaryllidaceae,9,50,19,60,4,3,5,7,3,4,5,7,0,3
Allium_oleraceum,Allium,Amaryllidaceae,14,50,7.04,80,4,3,7,6,4,3,7,4,0,4
Allium_carinatum,Allium,Amaryllidaceae,29,50,4.305,60,4,3,8,5,4,3,8,2,0,4
Galanthus_nivalis,Galanthus,Amaryllidaceae,28,50,6.69,25,4,3,5,6,4,6,7,7,0,7
Leucojum_vernum,Leucojum,Amaryllidaceae,4,50,12.04,35,4,3,6,5,4,6,7,8,0,7
Leucojum_aestivum,Leucojum,Amaryllidaceae,13,50,43.26,60,4,3,7,8,4,9,7,8,0,4
Narcissus_pseudonarcissus,Narcissus,Amaryllidaceae,21,50,5.32,50,4,3,8,4,2,6,4,4,0,5
Hyacinthoides_non_scripta,Hyacinthoides,Asparagaceae,13,50,5.53,50,4,3,5,6,1,5,7,6,0,7
Muscari_neglectum,Muscari,Asparagaceae,6,50,3.61,30,4,3,7,8,7,3,7,5,0,4
Muscari_botryoides,Muscari,Asparagaceae,21,50,2.01,30,4,3,7,5,4,5,5,5,0,0
Scilla_bifolia,Scilla,Asparagaceae,29,50,9.55,20,4,3,5,7,5,7,7,6,0,7
Ornithogalum_nutans,Ornithogalum,Asparagaceae,32,50,9,60,4,3,6,7,4,4,7,7,0,3
Ornithogalum_pyrenaicum,Ornithogalum,Asparagaceae,8,50,7.67,100,4,3,4,6,2,5,6,5,0,7
Ornithogalum_umbellatum,Ornithogalum,Asparagaceae,2,50,9.306,30,4,3,6,6,4,5,7,7,0,3
Anthericum_ramosum,Anthericum,Asparagaceae,42,50,2.51,60,4,3,7,5,4,3,7,3,0,7
Anthericum_liliago,Anthericum,Asparagaceae,29,50,6.2,60,4,3,7,6,4,3,5,2,0,7
Asparagus_officinalis,Asparagus,Asparagaceae,2,50,26,150,4,3,6,6,7,3,5,4,0,0
Convallaria_majalis,Convallaria,Asparagaceae,33,50,18,20,4,3,5,5,3,4,5,4,0,7
Maianthemum_bifolium,Maianthemum,Asparagaceae,45,50,11,15,4,3,3,5,6,5,3,3,0,0
Polygonatum_verticillatum,Polygonatum,Asparagaceae,28,50,29.6,80,4,3,4,4,2,5,4,5,0,7
Polygonatum_odoratum,Polygonatum,Asparagaceae,48,50,27.9,40,4,3,7,5,5,3,7,3,0,7
Polygonatum_multiflorum,Polygonatum,Asparagaceae,1,50,26,80,4,3,2,5,5,5,6,5,0,7
Sparganium_erectum,Sparganium,Sparganiaceae,19,50,16.67,100,1,3,7,6,5,10,7,7,0,1
Sparganium_emersum,Sparganium,Sparganiaceae,39,50,3.26,60,1,3,7,6,3,10,6,7,0,1
Sparganium_angustifolium,Sparganium,Sparganiaceae,26,50,2.54,150,1,3,8,4,3,10,3,1,0,1
Sparganium_natans,Sparganium,Sparganiaceae,39,50,3.2577,100,1,3,7,5,5,10,5,3,0,1
Typha_minima,Typha,Typhaceae,7,50,0.037,75,1,3,8,5,7,9,8,2,0,1
Typha_angustifolia,Typha,Typhaceae,20,50,0.16,300,1,3,8,7,5,10,7,7,1,1
Typha_latifolia,Typha,Typhaceae,16,50,0.1,250,1,3,8,6,5,10,7,8,0,1
Juncus_trifidus,Juncus,Juncaceae,1,50,0.17,25,3,3,8,2,3,4,4,2,0,4
Luzula_nivea,Luzula,Juncaceae,21,50,0.5,60,3,3,4,5,4,5,3,3,0,7
Luzula_pilosa,Luzula,Juncaceae,44,50,1.03,30,3,3,2,5,3,5,5,4,0,0
Luzula_luzuloides,Luzula,Juncaceae,46,50,0.3,60,3,3,4,5,4,5,3,4,0,7
Luzula_multiflora,Luzula,Juncaceae,43,50,1.75,60,3,3,7,5,4,6,5,3,0,5
Luzula_campestris,Luzula,Juncaceae,34,50,0.6,20,3,3,7,5,3,4,3,3,0,5
Luzula_sudetica,Luzula,Juncaceae,27,50,0.339,35,3,3,8,3,4,5,3,2,0,5
